MP name,Nature of membership,Start of term,End of term,No. of Term,Standing Committee Membership,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Dinesh Kashyap,Elected,18-May-14,In office,Second,"Food, Consumer Affairs & Public Distribution",Chhattisgarh,Bastar,Bharatiya Janata Party,Male,Others,,55,6,0,5,75%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,23,0.1,184,84%
Dinesh Trivedi,Elected,18-May-14,In office,Second,Finance,West Bengal,Barrackpur,All India Trinamool Congress,Male,Professional Post Graduate,M.B.A.,67,20,0,211,80%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Dr Bhola Singh,Elected,18-May-14,In office,Second,Petroleum & Natural Gas,Bihar,Begusarai,Bharatiya Janata Party,Male,Doctorate,"M.A., Ph.D.; Educated at Patna University and Lalit Narayan Mithila University, Darbhanga, Bihar",83,46,0,262,86%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.7,166,88%
Dushyant Chautala,Elected,18-May-14,In office,First,Commerce,Haryana,Hisar,Indian National Lok Dal,Male,Graduate,Graduate,29,204,18,592,85%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,53.8,2.8,227,86%
Dushyant Singh,Elected,18-May-14,In office,Third,"Transport, Tourism and Culture",Rajasthan,Jhalawar-Baran,Bharatiya Janata Party,Male,Professional Post Graduate,"B.A. , M.B.A. (Hotel Administration) and P.G. Diploma in Hotel Operations; Educated at Doon School, Dehradun,; St. Stephen`s College, Delhi, Johnson and Wales University, Providence, RI, USA and IHTTI School of Mangaement, Neuchatel, Switzerland, ",44,31,0,230,75%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,124.9,3.6,329,88%
E. Ahamed,Elected,18-May-14,31/01/2017,Seventh,No,Kerala,Malappuram,Indian Union Muslim League,Male,Professional Graduate,"B.A., B.L.; Educated at Government Brennen College, Tellicherry and Government Law College, Thiruvananthapuram (Kerala) ",79,14,0,53,64%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),43.6,1.2,175,80%,82.2,2.5,271,78%
E. T. Mohammed Basheer,Elected,18-May-14,In office,Second,"Science & Technology, Environment & Forests",Kerala,Ponnani,Indian Union Muslim League,Male,Inter/ Higher Secondary,,71,78,4,260,81%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,118.4,3.4,360,78%
Faggan Singh Kulaste,Elected,18-May-14,In office,Fifth,Social Justice & Empowerment  and Human Resource Development,Madhya Pradesh,Mandla,Bharatiya Janata Party,Male,Post Graduate,"M.A., B.Ed. and LL.B. 
Educated at Mandla College, Dr. Hari Singh Gaur University, Sagar and Rani Durgawati University, Jabalpur (Madhya Pradesh)",58,16,1,88,89%,"This MP was a minister from Jul 2016 to Sep 2017. Ministers represent the government, so we do not report their participation.  Participation and attendance details are thus not available for the above period. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",38.8,1.2,163,80%,39.6,0.6,153,82%
Farooq Abdullah,Elected,15-Apr-17,In office,Third,No,Jammu and Kashmir,Srinagar,Jammu and Kashmir National Conference,Male,Graduate,"M.B.B.S.; Educated at S.M.S. Medical College, Jaipur, Rajasthan",80,0,0,0,66%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),6.9,0.3,43,80%,2.5,0,15,54%
Fatepara Devajibhai Govindbhai,Elected,18-May-14,In office,First,Labour ,Gujarat,Surendranagar,Bharatiya Janata Party,Male,Under Matric,Information not available,59,2,0,194,85%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,36.6,2,233,84%
Feroze Varun Gandhi,Elected,18-May-14,In office,Second,External Affairs,Uttar Pradesh,Sultanpur,Bharatiya Janata Party,Male,Graduate,"B.Sc. (Economics); educated at London School of Economics (LSE), London University, UK.",38,16,9,388,76%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
G. Hari,Elected,18-May-14,In office,First,Industry,Tamil Nadu,Arakkonam,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A., B.L.",57,50,0,446,87%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
Gajanan Chandrakant Kirtikar,Elected,18-May-14,In office,First,Railways ,Maharashtra,Mumbai-North-West,Shiv Sena,Male,Graduate,B.A. (Ecomomics),74,64,4,849,79%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Gajendrasingh Shekhawat,Elected,18-May-14,In office,First,No,Rajasthan,Jodhpur,Bharatiya Janata Party,Male,Post Graduate,P.G.,50,320,2,312,91%,"This MP was appointed a minister in Sep 2017. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 11th Aug, 2017. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",54.2,1.6,215,80%,120.3,3.2,299,88%
Ganesh Singh,Elected,18-May-14,In office,Third,Railways ,Madhya Pradesh,Satna,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.B.; Educated at Awadesh Pratap Singh University,; Rewa and Law College, Satna, Madhya Pradesh",55,126,0,332,87%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,64.1,0.7,237,82%
George Baker,Nominated,10-Aug-15,In office,First,Chemicals & Fertilizers,,,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Senior Cambridge,71,29,0,168,97%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),38.5,1.2,156,80%,68.8,1.6,247,94%
Giriraj Singh,Elected,18-May-14,In office,First,No,Bihar,Nawada,Bharatiya Janata Party,Male,Graduate,Graduate,65,0,0,5,85%,"This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till Aug 2014. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",5.1,0.1,18,80%,7.5,0.3,17,88%
Godam Nagesh,Elected,18-May-14,In office,First,Coal & Steel,Telangana,Adilabad,Telangana Rashtra Samithi,Male,Post Graduate,"M.A., M.Ed.(O.U)",53,4,0,5,84%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,34,1.4,260,69%
Godse Hemant Tukaram,Elected,18-May-14,In office,First,Information Technology,Maharashtra,Nashik,Shiv Sena,Male,Diploma Course,Diploma in Civil Engineering,47,30,0,374,87%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Gokaraju Ganga Raju,Elected,18-May-14,In office,First,Rural Development ,Andhra Pradesh,Narsapuram,Bharatiya Janata Party,Male,Graduate,B.Pharma,73,2,0,221,82%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,35,0.6,221,75%
Gopal Chinayya Shetty,Elected,18-May-14,In office,First,Finance,Maharashtra,Mumbai-North,Bharatiya Janata Party,Male,Under Matric,Non-Matric,64,96,26,384,100%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Gourav Gogoi,Elected,18-May-14,In office,First,Defence,Assam,Kaliabor,Indian National Congress,Male,Post Graduate,Post Graduate,35,80,3,248,80%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,43.2,0.5,135,74%
Gowdar Mallikarjunappa Siddeswara,Elected,18-May-14,In office,Third,Railways ,Karnataka,Davanagere,Bharatiya Janata Party,Male,Matric,"Educated at Bheemeshwara Rural Educational Society, Bheemasamudra (Karnataka) ",65,2,0,161,58%,"This MP was a minister till Jul 2016. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills. Participation and attendance details (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",22.7,0.7,106,80%,13.7,0.2,122,80%
Gurjeet Singh Aujla,Elected,20-Mar-17,In office,First,External Affairs,Punjab,Amritsar,Indian National Congress,Male,Information not available,Information not available,45,7,0,18,86%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),11.7,0.4,56,80%,7.7,0.4,32,69%
Gyan Singh,Elected,25-Nov-16,In office,First,Health and Family Welfare,Madhya Pradesh,Shahdol,Bharatiya Janata Party,Male,Under Matric,7th Pass Government Secondary School in 1966,65,0,0,0,43%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),15.8,0.6,81,80%,17.4,0.2,86,82%
H.D. Devegowda,Elected,18-May-14,In office,Sixth,Defence,Karnataka,Hassan,Janata Dal (Secular),Male,Diploma Course,"D.C.E.; Educated at Government High School, Holenarsipura and Smt.L.V. Polytechnic, Hassan, Karnataka",84,15,0,0,52%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,42.1,0.3,315,80%
Hansraj Gangaram Ahir,Elected,18-May-14,In office,Fourth,No,Maharashtra,Chandrapur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"S.S.C.; Educated at L.T.Y. School, Chandrapur, Maharashtra",63,10,4,115,91%,"This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till Aug 2014. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",5.1,0.1,18,80%,4.6,0.2,38,79%
Hari Manjhi,Elected,18-May-14,In office,Second,Labour ,Bihar,Gaya,Bharatiya Janata Party,Male,Under Matric,Under Matriculate,55,16,0,207,97%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.7,166,88%
Hari Om Pandey,Elected,18-May-14,In office,First,Human Resource Development,Uttar Pradesh,Ambedkar Nagar,Bharatiya Janata Party,Male,Post Graduate,"M.A., B.P.Ed. N.I.S.",61,2,0,161,91%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Haribansh Singh,Elected,18-May-14,In office,First,"Transport, Tourism and Culture",Uttar Pradesh,Pratapgarh,Apna Dal,Male,Graduate,B.Sc. (AG),67,26,0,833,91%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Haribhai Parthibhai Chaudhary,Elected,18-May-14,In office,Fourth,No,Gujarat,Banaskantha,Bharatiya Janata Party,Male,Graduate,"Educated at Mumbai University, Mumbai (Maharashtra)",63,7,0,12,97%,"This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till Aug 2014. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",5.1,0.1,18,80%,4.1,0.3,18,84%
Harinarayan Rajbhar,Elected,18-May-14,In office,First,"Science & Technology, Environment & Forests",Uttar Pradesh,Ghosi,Bharatiya Janata Party,Male,Under Matric,Information not available,77,29,1,141,96%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Harinder Singh Khalsa,Elected,18-May-14,In office,Second,Information Technology,Punjab,Fatehgarh Sahib,Aam Aadmi Party,Male,Post Graduate,M.A. (Eng.),70,1,0,43,78%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,40.7,0.9,114,69%
Hariom Singh Rathore,Elected,18-May-14,In office,First,Labour ,Rajasthan,Rajsamand,Bharatiya Janata Party,Male,Graduate,B.Com.,60,56,0,203,80%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,124.9,3.6,329,88%
Harish Chandra Alias Harish Dwivedi,Elected,18-May-14,In office,First,Energy and Information Technology,Uttar Pradesh,Basti,Bharatiya Janata Party,Male,Post Graduate,Post Graduate,44,31,0,252,86%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Harish Chandra Meena,Elected,18-May-14,In office,First,"Transport, Tourism and Culture",Rajasthan,Dausa,Bharatiya Janata Party,Male,Graduate,Graduate,63,75,1,264,99%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,124.9,3.6,329,88%
Harishchandra Deoram Chavan,Elected,18-May-14,In office,Third,Rural Development ,Maharashtra,Dindori,Bharatiya Janata Party,Male,Graduate,"B.A. (With English Special); Educated at K.G. Joshi College, Thane (Maharashtra) ",66,29,0,549,86%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Harsh Vardhan,Elected,18-May-14,In office,First,No,Delhi,Chandni Chowk,Bharatiya Janata Party,Male,Professional Graduate,M.B.B.S.,63,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harsimrat Kaur Badal,Elected,18-May-14,In office,Second,No,Punjab,Bathinda,Shiromani Akali Dal,Female,Graduate,Degree in Dress designing,51,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Heena Vaijaykumar Gavit,Elected,18-May-14,In office,First,Health and Family Welfare,Maharashtra,Nandurbar,Bharatiya Janata Party,Female,Professional Post Graduate,"M.B.B.S., M.D.",30,51,0,851,83%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Hema Malini,Elected,18-May-14,In office,First,Information Technology,Uttar Pradesh,Mathura,Bharatiya Janata Party,Female,Matric,"Matric Educated at Andhra Mahila Sabha, Chennai",69,16,0,197,39%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Hemendra Chandra Singh,Elected,18-May-14,05/09/2014,First,No,Odisha,Kandhamal,Biju Janata Dal,Male,Graduate,B.Com.,50,0,0,0,97%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),5.1,0.1,18,80%,4.6,0.3,15,82%
Hukamdeo Narayan Yadav,Elected,18-May-14,In office,Fifth,Agriculture,Bihar,Madhubani,Bharatiya Janata Party,Male,Graduate,"Graduate, Amanat (Land surveying); Educated at Chandradhari Mithila College, Darbhanga, Bihar",78,36,0,31,96%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.7,166,88%
Hukum Singh,Elected,18-May-14,03/02/2018,First,Water Resources ,Uttar Pradesh,Kairana,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B.",79,57,0,202,95%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),56.8,1.8,227,80%,93.6,1.3,151,87%
Idris Ali,Elected,18-May-14,In office,First,Coal & Steel,West Bengal,Basirhat,All India Trinamool Congress,Male,Professional Graduate,"B.Sc., LLB",67,19,0,17,67%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Inderjit Singh Rao,Elected,18-May-14,In office,Fourth,No,Haryana,Gurgaon,Bharatiya Janata Party,Male,Professional Graduate,"B.A. (Hons), LL.B., Educated at University of Delhi, Delhi",68,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Innocent,Elected,18-May-14,In office,First,Chemicals & Fertilizers,Kerala,Chalakudy,Independent,Male,Under Matric,Under Matric,70,23,0,217,68%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,118.4,3.4,360,78%
J. Jayavardhan,Elected,18-May-14,In office,First,Information Technology,Tamil Nadu,Chennai South,All India Anna Dravida Munnetra Kazhagam,Male,Professional Post Graduate,"M.B.B.S., M.D. (General Medicine)",30,48,0,599,83%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
J. Jeyasingh Thiyagaraj Natterjee,Elected,18-May-14,In office,First,Health and Family Welfare,Tamil Nadu,Thoothukkudi,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A., B.L.",64,19,0,230,82%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
J.C. Divakar Reddi,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Andhra Pradesh,Anantapur,Telugu Desam Party,Male,Graduate,B.Sc.,74,4,1,292,76%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,35,0.6,221,75%
Jadhav Prataprao Ganpatrao,Elected,18-May-14,In office,Second,Home Affairs,Maharashtra,Buldhana,Shiv Sena,Male,Under Graduate,"B.A. - II; Educated at Shri Shivaji College, Chikhil, Buldana",57,47,0,461,74%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Jagdambika Pal,Elected,18-May-14,In office,Second,Energy,Uttar Pradesh,Domariyaganj,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Pol. Science, Modern History & Ancient History) & LL.B.; Educated at Awadh University, L.L.B., Gorakhpur University",67,181,14,315,94%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Jai Prakash Narayan Yadav,Elected,18-May-14,In office,Second,Agriculture,Bihar,Banka,Rashtriya Janata Dal,Male,Post Graduate,"M.A., LL.B. 
Educated at Patna University, Patna (Bihar)",63,169,2,144,86%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.7,166,88%
Janak Ram,Elected,18-May-14,In office,First,Commerce,Bihar,Gopalganj,Bharatiya Janata Party,Male,Post Graduate,M.A.,44,18,0,125,97%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.7,166,88%
Janardan Mishra,Elected,18-May-14,In office,First,Agriculture,Madhya Pradesh,Rewa,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B",61,33,0,130,92%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,64.1,0.7,237,82%
Janardan Singh Sigriwal,Elected,18-May-14,In office,First,Coal & Steel,Bihar,Maharajganj,Bharatiya Janata Party,Male,Post Graduate,M.A.,59,69,10,349,95%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.7,166,88%
Jasvantsinh Sumanbhai Bhabhor,Elected,18-May-14,In office,First,No,Gujarat,Dahod,Bharatiya Janata Party,Male,Graduate,Information not available,49,11,0,138,90%,"This MP was appointed a minister in Jul 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till May 2016. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",35.2,1,136,80%,22.5,1.5,123,84%
Jayadev Galla,Elected,18-May-14,In office,First,Defence,Andhra Pradesh,Guntur,Telugu Desam Party,Male,Graduate,Graduate,51,105,6,423,84%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,35,0.6,221,75%
Jayant Sinha,Elected,18-May-14,In office,First,No,Jharkhand,Hazaribagh,Bharatiya Janata Party,Male,Professional Post Graduate,"Bachelor of Technology (IIT, Delhi), M.Sc. (University of Pennsylvania), M.B.A. (Harvard Business School)",54,2,0,9,97%,"This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till Aug 2014. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",5.1,0.1,18,80%,6.5,0.5,33,86%
Jayshreeben Kanubhai Patel,Elected,18-May-14,In office,Second,Petroleum & Natural Gas,Gujarat,Mehesana,Bharatiya Janata Party,Female,Matric,SSC,58,115,6,364,98%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,36.6,2,233,84%
Jhina Hikaka,Elected,18-May-14,In office,First,Social Justice & Empowerment ,Odisha,Koraput,Biju Janata Dal,Male,Post Graduate,"M.A., L.L.B.",42,7,0,10,69%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.8,187,82%
Jitendra Choudhury,Elected,18-May-14,In office,First,Commerce,Tripura,Tripura East,Communist Party of India (Marxist),Male,Inter/ Higher Secondary,Inter/Higher Secondary,59,104,0,255,81%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,117.5,2.5,249,78%
Jitendra Singh,Elected,18-May-14,In office,First,No,Jammu and Kashmir,Udhampur,Bharatiya Janata Party,Male,Professional Graduate,MBBS,61,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joice George,Elected,18-May-14,In office,First,"Personnel, Public Grievances, Law and Justice",Kerala,Idukki,Independent,Male,Post Graduate,"MSW, LL.B.",47,240,3,453,89%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,118.4,3.4,360,78%
Jose K. Mani,Elected,18-May-14,In office,Second,External Affairs,Kerala,Kottayam,Kerala Congress (M),Male,Post Graduate,"B.Com., M.B.A. (Marketing); Educated at Loyola College, Chennai and P.S.G. College of Technology, Coimbatore",52,109,0,354,77%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,118.4,3.4,360,78%
Jual @ Juel Oram,Elected,18-May-14,In office,Fourth,No,Odisha,Sundargarh,Bharatiya Janata Party,Male,others,"Diploma in Electrical Engineering 
Educated at U.G.I.E., Rourkela (Orissa)",57,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jugal Kishore,Elected,18-May-14,In office,First,Rural Development ,Jammu and Kashmir,Jammu,Bharatiya Janata Party,Male,Matric,Matriculation,55,77,0,217,89%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,25.5,0,71,54%
Jyoti Dhurve,Elected,18-May-14,In office,Second,Coal & Steel,Madhya Pradesh,Betul,Bharatiya Janata Party,Female,Post Graduate,"M.A. (Political Science), Educated at Durga Mahavidhyala Raipur, Chattisgarh",51,56,0,213,83%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,64.1,0.7,237,82%
Jyotiraditya Madhavrao Scindia,Elected,18-May-14,In office,Fourth,Finance,Madhya Pradesh,Guna,Indian National Congress,Male,Post Graduate,"M.A., M.B.A.; Educated at Doon School, Dehradun, Harvard University (U.S.A.) and Stanford University, California (USA) ",47,46,1,721,78%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,64.1,0.7,237,82%
K. Ashok Kumar,Elected,18-May-14,In office,First,Chemicals & Fertilizers,Tamil Nadu,Krisnagiri,All India Anna Dravida Munnetra Kazhagam,Male,Matric,Matric,64,78,0,348,87%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
K. C. Venugopal,Elected,18-May-14,In office,Second,"Transport, Tourism and Culture",Kerala,Alappuzha,Indian National Congress,Male,Post Graduate,M.Sc. (Mathematics); Educated at Calicut University,55,121,0,298,85%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,118.4,3.4,360,78%
K. Gopal,Elected,18-May-14,In office,First,"Science & Technology, Environment & Forests",Tamil Nadu,Nagapattinam,All India Anna Dravida Munnetra Kazhagam,Male,Professional Graduate,"M.B.B.S.,",58,35,0,244,79%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
K. Kamaraj,Elected,18-May-14,In office,First,Health and Family Welfare,Tamil Nadu,Kallakurichi,All India Anna Dravida Munnetra Kazhagam,Male,Professional Post Graduate,M.S. (General Surgery),52,50,0,207,86%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
